Problem: falling metrics
Problem Type: Execution
Firm: Amazon
Channel: RocketBlocks
URL: https://www.youtube.com/watch?v=LC92F0nUOV0
============================================================

**Interviewer:** Hello,   everyone.   Kent   and   Covescu   from   the   RocketBlocks   team   here.   In   this   mock   interview   video,   we're   sitting   down   with   Jessie   Lau,   who   is   a   senior   product   manager   at   Amazon,   focused   on   the   Kindle   product.   And   in   this   particular   interview,   we're   going   to   be   doing   a   product   execution   question   focused   on   the   popular   grocery   delivery   app,   Instacart,   and   they're   seeing   a   decline   in   one   of   their   core   metrics.   So   let's   go   ahead   and   jump   in,   and   see   how   Jessie   walks   through   this.   Okay,   so   let's   imagine   you   are   a   product   manager   working   on   Instacart,   the   grocery   delivery   app,   and,   uh,   you   walk   in   one   day   and   your   manager   pulls   you   aside   and   says,   "Hey,   uh,   order   deliveries,   uh,   you   know,   the   number   of   orders   placed   on   a,   on   a   day-to-day   basis   is   down   4%   week   over   week   from   where   it   was   last   week.   Um,   and   we   don't   know   what's   going   on.   We   need   you   to   help   us   figure   it   out."   So   my   question   to   you   is,   how   would   you   figure   out   what's   going   on   and   then   sort   of   walk   me   through   that   process?   And,   you   know,   feel   free   to   ask   any   que-   clarifying   questions   or,   you   know,   um,   ask   for   more   info   if   you   need   it.  
**Candidate:** Yeah.   So   the   first   thing   I   would   do   is   ask,   um,   "Is   this   a   real   problem   or   a   not   real   problem?"   Like,   is-  
**Interviewer:** Mm-hmm.   How-   what   do   you   mean   by   that?  
**Candidate:** Yeah.   Look-  
**Interviewer:** How   do   you   decide   whether   it's   real   or   not   real?  
**Candidate:** Yeah,   like   is   the...   Is,   is,   is   4%   a   normal   fluctuation   that   you   might   see   week   over   week,   especially   if   it,   if   it   fits   inside   of   a,   of   a   normally   understandable   seasonal   pattern?  
**Interviewer:** Yep.  
**Candidate:** So   shopping   goes   up   before   Thanksgiving   (laughs)   and-  
**Interviewer:** Mm-hmm.  
**Candidate:** ...   and   things   like   that.   So-  
**Interviewer:** Yep.  
**Candidate:** ...   if   last   week   was   Thanksgiving,   for   instance,   then   perhaps   this   week   is   down   because   last   week   was,   was   normally   high.  
**Interviewer:** Ah,   good,   good   point.   So   you're   basically   like,   is   this   normal   or   is   there   like   a   really   high   comp   the   week   before   that   makes   this   look   like   we're   down,   but   we're   just   going,   we're   just   reverting   to   the   mean.  
**Candidate:** Yeah.  
**Interviewer:** Yeah,   fair   question.   So   the   normal   sort   of   week-to-week   fluctuation   is   about   1%,   1.5%,   so   4%   does   seem   high,   which   is   why   it   caught,   caught   our   attention.   Uh,   and,   and   then   to   your   question   about,   you   know,   is   this   a   high   comp   issue   like   it   was   Thanksgiving   last   week   or   something   like   that   that   spiked   orders   up?   That   is   not   the   case.   It,   it,   you   know,   we're   sort   of   mid-June,   so   it   doesn't   seem   like   there's   sort   of   any   obvious,   um,   you   know,   reason   why   it   would   have   spiked   up   last   week.  
**Candidate:** Got   it,   got   it.   Okay.   So,   so   it   is,   it   is   a,   it   is   a   real   problem.   So   okay,   let's   go   work   on   it.   You   know,   one   of   the   things   I,   I've,   um,   we   do,   I've   done   in   my   past   is,   um,   we   will   set   up   predictive   alarms   against   some   of   our   metrics.  
**Interviewer:** Mm-hmm.  
**Candidate:** So   they'll   actually,   you   know,   um,   they'll   notice   when   there   is   higher   variability   in   our   data   over   time,   and   the   alarms   will   expand   their   allowable   range   of,   of,   uh,   variance   in   those   periods.  
**Interviewer:** Yeah.  
**Candidate:** So   it's   good   to   know   that   this   is,   um,   this   would   have   triggered   that   alarm.   (laughs)  
**Interviewer:** Yep.   (laughs)  
**Candidate:** Um,   okay,   cool.   Um,   the...   So   the,   the   second   thing   I'd   wanna   know   then   is,   um,   what's   the   geography   we're   talking   about   here?   So   I   presume   we're   primarily   focused   on   the   US.  
**Interviewer:** Yep.   So   fair   point.   So,   uh,   right   now   we're   100%   operating   in   US   markets,   so   you're   dealing   with   just,   uh,   you   know,   one   country.   Um,   and   s-   happy   to   answer   any   sort   of   other   geography   questions   you   have   beyond   that   too.  
**Candidate:** Yeah,   I'm   curious,   um,   is   that   4%   consistent   across   the   US   or   do   we   see   variance,   um,   in   different   regions?  
**Interviewer:** Mm.   So   good   question.   Um,   one   question   back   for   you   is   like   what   type   of   cuts   would   you   wanna   see   or,   you   know,   if   you,   if   you   could   sort   of   ma-   wave   your   magic   wand,   like   how   would   you   wanna   grab-  
**Candidate:** Yeah.  
**Interviewer:** ...   uh,   that,   that's,   um,   answer   your   own   question   there?  
**Candidate:** Mm-hmm.   Um,   you   know,   I'm   not   exactly   certain   yet,   but,   I   mean,   typical   cuts   I   might   make   in   a   t-   at   a,   at   a   time   like   this   where   I'm   just   initiating   an   investigation   would   be,   you   know,   one   would   be   geographical.  
**Interviewer:** Yeah.  
**Candidate:** Um,   e-   in   terms   of   regions,   right?  
**Interviewer:** Okay.  
**Candidate:** Like   the   west   or   the   northeast.  
**Interviewer:** So   you   just   cut   it   by   r-   that's   why   I   was   asking   you.   You   just   cut   it   by   some   regions?  
**Candidate:** Yeah,   I   mean,   that's   one   way.   Another   way   I   would   think   about   is,   um,   urban   versus   suburban   versus   rural.  
**Interviewer:** Okay.  
**Candidate:** Um,   and   then,   I   don't   know,   like   if   I   knew   this   industry   better,   I   might,   um,   instead   of   cutting   by   region,   I   might   cut   by,   like,   um,   who   our   key   partners   are,   right?   Like-  
**Interviewer:** Ah,   okay.  
**Candidate:** ...   uh,   I   don't   know.  
**Interviewer:** So   like   your   grocery   partners.  
**Candidate:** Yeah,   like   if   Albert   ...   If   there   was   some...   if   we   had   some   change   in   our   relationship   with   Albertsons   or   something   like   that-  
**Interviewer:** Okay.  
**Candidate:** ...   that   might-  
**Interviewer:** Yeah,   yeah,   yeah.   Okay.   So   that's,   that's   fair.   So   those   are   three   interesting   ways   to   cut   it.   I   can,   I   can,   uh,   go   retrieve   that   data   for   you.   Um,   the   first-  
**Candidate:** Thank   you.  
**Interviewer:** ...   one   which   was   geographic   regions.   Uh,   so   we've   returned   basically   Western   US,   the   Midwest,   the   Northeast,   and   the   Southeast.   Uh,   and   it   does   look   like   the   4%   is   basically   down   across   the   board.   Like   it's-  
**Candidate:** Oh,   it   is   down   across   the   board.  
**Interviewer:** ...   like   3.8   in   the   West   and   4.5   in   the   Northeast,   whatever,   but   it's   like   all   around   the   same,   hovering-  
**Candidate:** Mm-hmm.  
**Interviewer:** ...   around   that   same   4%.  
**Candidate:** Okay.  
**Interviewer:** Um,   the   second,   uh,   cut   that   you   mentioned   around   rural,   urban,   same   thing   there.   There,   there's   a   little   bit   of   variance,   um,   but   we're   not   seeing   that,   like   rural   is   up   and   urban   is   down   or   anything   like   that.   Um,   they're   both   sort   of   down   around   4%.  
**Candidate:** Okay.  
**Interviewer:** And   then   the   last   one   you   mentioned,   uh,   similar   story   there.   Like   if   you   cut   it   by   grocery   partner,   uh,   which   is   an   interesting   idea,   we   don't   see   any...   You   know,   there's   no   like   obvious   smoking   gun   that   like,   hey,   uh,   Albertsons,   to   use   your   example,   is,   you   know,   falling   off   a   cliff   for   some   reason.  
**Candidate:** Got   it.   So   it   feels   pretty   evenly   dispersed,   uh,   across   the   country.  
**Interviewer:** Yeah,   yeah.  
**Candidate:** Um,   what   about...   What   about   competition?   Have,   um,   have...   Any...   Has   anything   changed   in   the   competitive   landscape?  
**Interviewer:** Yeah.   Um,   good   question.   So   in   terms   of   major   stuff   happening   in   the   marketplace   right   now,   I   mean,   uh,   this   is   not   new,   but   so   for   the   last......   couple   of   years,   Instacart   has   been   competing   against   Amazon,   um,   and   Amazon's   line   of   grocery   delivery   stuff,   which   I   think   is   called   Amazon   Fresh.   Uh,   and,   and,   and,   you   know,   that's,   like,   evolved   and   changed   a   little   bit   over   the   years.   But   nothing,   to   our   knowledge,   has   changed   in   the   last   week   with   that.  
**Candidate:** Mm-hmm.  
**Interviewer:** Um,   we   haven't   seen   anything   there.   There   have   been   some   rumblings,   like   if   you,   you   know,   read   like   TechCrunch,   that   type   of   stuff,   that,   that   Uber   is   considering   getting   into   grocery   delivery,   uh,   in   a   bigger   business.   Obviously,   that   they   operate   in   a   tangential   space   with   Uber   Eats.   You   know,   there,   there   are   some-  
**Candidate:** Hmm.  
**Interviewer:** ...   similarities   there.   Um,   and   clearly   they   know   a   little   bit   about   logistics.   But   there's   no,   um,   you   know,   as   far   as   we   know,   they're,   they're,   they   don't   have   any   material   presence.   They're   not   actually   testing   it;   it's   just   sort   of   like-  
**Candidate:** Hmm.  
**Interviewer:** ...   TechCrunch   rumors,   um,   at   this   point.  
**Candidate:** Interesting.   Um   ...   I'm   curious   to   know   if   there's   any   way   that,   and   I'm   just   thinking   out   loud   here.  
**Interviewer:** Yeah.  
**Candidate:** But   I'm,   I'm   curious   to   know   if   there's   any   way   that   though,   just   rumblings   about   Uber   could   have,   have,   have   driven   some   sort   of   impact.   Um-  
**Interviewer:** Mm-hmm.  
**Candidate:** Sorry,   it   seems   like   you   have   something   you   were   gonna   say.   Go   ahead.  
**Interviewer:** Yeah,   I   mean,   I   think,   um,   hard   to   know   for   sure   from,   from   my   perspective.   I   mean,   certainly,   you   know,   consumers   might   have   heard   something.   My,   my   guess   is   it   seems   unlikely.   Um,   but-  
**Candidate:** Yeah.  
**Interviewer:** ...   if   you   have   a   specific   idea   of   how   that,   that   might   translate   into   something   like   this,   I'd   be   curious   to   hear   it   for   sure.  
**Candidate:** Well,   I   don't   think   this   is   a   very   good   idea,   but   I'll,   I'll   share   it,   is,   you   know,   uh,   I've,   I've   known,   uh,   Uber   to   be   pretty   competitive.  
**Interviewer:** Mm-hmm.  
**Candidate:** So   I   could   envision   a   world   where   they   might,   um,   especially   competitive   on   the,   on   the   s-   on   the   supply   side.  
**Interviewer:** Okay.  
**Candidate:** So   I   could,   it,   I   mean,   this   seems   almost   nonsensical   to   me,   or   certainly   not   a,   not   a,   not   a   sustainable   business   strategy,   but   I   could,   I   could   imagine   them   starting   to   hire,   uh,   delivery   people,   um-  
**Interviewer:** Hm.  
**Candidate:** ...   in,   in   preparation   for   a   launch   or   something   like   that.  
**Interviewer:** Oh   yeah,   ah.  
**Candidate:** But   I   couldn't   imagine   that   that   would   lead   to   such   a   large   impact   on   Instacart.  
**Interviewer:** That   is,   that   is   interesting.   And   so   take   me   to,   like,   if,   if   Uber   were   doing   that   right   now,   or   some   other   competitor   out   there   was   doing   the   same   thing-  
**Candidate:** Mm-hmm.  
**Interviewer:** ...   how,   what,   what,   what's   the   logical   chain   of   how   that   would,   uh,   affect   the   overall   sort   of   decline   in,   in   orders   we're   seeing?  
**Candidate:** Yeah,   for   sure.   I   mean,   I   think   that   what   would   happen   is,   um,   your,   uh,   our,   our   delivery   windows   would,   um,   either,   uh,   shrink   or,   um,   they   would,   they   would   shrink   or   they   would   get   further   out.  
**Interviewer:** Okay.  
