Problem: measuring success of a bank app
Problem Type: Execution
Firm: 
Channel: RocketBlocks
URL: https://www.youtube.com/watch?v=KW3YvcJw7Bo
============================================================

**Interviewer:** Hello,   everyone.   Kenton   Covessiou   from   the   RocketBlocks   team   here.   In   this   mock   interview   video,   we're   sitting   down   with   Ava   Morgenstein,   who   is   a   product   manager   at   JP   Morgan   focused   on   payments   products.   And   in   this   particular   mock   interview   video,   we're   gonna   stay   close   to   her   area   of   expertise   and   we're   gonna   be   walking   through   a   product   analytics   and   metrics-oriented   question,   asking   her   to   think   through   the   success   metrics   that   she   would   use   to   measure   whether   a   particular   consumer   banking   app   is   succeeding   or   not.   So   let's   go   ahead   and   jump   in.   Um,   okay.   So   imagine   you   are   a   product   manager   at   a   bank.   It   could   be   a,   uh,   existing,   um,   bank   that's   been   established   for   a   while,   or   one   of   the   sort   of   new,   hot   fintech   companies.   But   basically   this   is   a   consumer-facing   bank,   and   they   have   a   mobile   app   that   they've   put   out.   And   I   want   you   to   help   us   sort   of   think   through,   like   if   you   were   the   PM   owning   that   mobile   app,   what   sort   of   success   metrics   would   you   set   out   and   use   to   determine   whether   this   mobile   app   is   really,   you   know,   successful   in   achieving   its   goals.  
**Candidate:** Sure.   Do   you   mind   if   I   ask   a   clarifying   question   here?  
**Interviewer:** Yeah.   Sure.  
**Candidate:** Are   we   curious   about   the   success   of   the   application   itself   on   an   iPhone   or   are   we   curious   about   the   success   of   the,   the   bank   or   the   fintech   overall?  
**Interviewer:** Hmm.   That's   a   really   good   question.   I   think   right   now   the   way   to   think   about   it   is   let's   constrain   the   problem   to   like   the   success   of   the   mobile   app   itself-  
**Candidate:** Sure.  
**Interviewer:** ...   um,   and   not   the   success   of   the   overall   bank   in,   in   meeting   its   objectives.  
**Candidate:** Gotcha.   That   makes   sense.   Um,   so   I   think   I   would   divide   this,   this   question   into   two   different   components.   I   think   on   one   hand,   given   that   this   is   a,   a   for-profit   company   or   startup,   what   we   would   wanna   be   looking   at   is   revenue   and   understanding   how   much   revenue   is   being   driven   from   the   app   itself.  
**Interviewer:** Okay.  
**Candidate:** So   that's   the   first   component,   and   I'll   go   more   into   that   in   a   second.  
**Interviewer:** Okay.  
**Candidate:** And   then   the   second   component   is   really   user   adoption   and   growth.  
**Interviewer:** Got   it.  
**Candidate:** And   that's   really   critical   for   understanding   do   people   use   it,   is   it   important,   is   it,   are   usage   growing,   et   cetera.   So   I'll   go   into   both   of   those   in   a   little   bit   more   detail.  
**Interviewer:** Okay.   That   sounds   good.  
**Candidate:** So   I   imagine   that   just   given   the,   the   age   that   we   live   in,   much   of   the   banking   that   this   bank   does   is   done   via   its   mobile   app.   Um,   so   because   of   that,   the,   the   revenue   aspect   is   pretty   critical   for   the   application   here.   Um,   and   I'm   going   to   use   Chime   as   an   example   because   that's   the   one   I'm   familiar   with.   But   Chime   is   essentially   a   relatively   new   bank   founded   in   2013,   and   they   allow   for   checking   and   savings   accounts   free   of   charge   for   all   of   their   customers.   From   a   revenue   standpoint,   the   way   that   they   actually   generate   revenue   is   by   charging   part   of   the   merchant   fee   on   payments   that   their   clients   make   on   Chime   debit   cards.   And   then   they   also   have   a   yield   on   some   of   their   high-yield   savings   accounts,   which   they   take   a   portion   of.   So   given   those   revenue   objectives   and   kind   of   revisiting   our   revenue   component   of   what   our   metrics   are,   what   we   would   wanna   understand   is   on   this   mobile   app,   how   many   transac-   excuse   me,   how   many   debit   payments   are   made.   And   I'm   assuming   that   Chime   can   make   payments   through,   through   Apple   Pay   or   through   Zelle   or   through   Venmo,   et   cetera.   And   what   notional,   or   excuse   me,   what   percentage   is   actually   charged   for   the   merchant.   And   there   can   be   a   variety   of   merchants   here   depending   on   where   a   customer   is   actually   making   a   purchase.   So   we   would   wanna   know   what   rate   all   of   those   merchants   are   charging   and   what   percentage   of   those   rates   Chime   actually   gets   to   take   home.   And   that   will   be   a   really   key   metric   for   understanding   revenue   growth   from   the   perspective   of   the   debit   card   side   of   revenue.   So   that's,   that's   one   or   two   metrics   for   that   topic.  
**Interviewer:** Got   it.   And   just   to   make   sure   I   understand   that,   'cause   there   was   some   level   of   detail   you   went   into.   You're   saying,   okay,   so   you   have   a   Chime   mobile   app   that   you   use   and,   and   along   with   that   mobile   app,   it,   it   sounds   like   you're,   you're   presuming   you   have   a,   a   debit   card   that   you   get   with   it.   And   then   you're   saying,   well,   there's,   you   know,   payments   that   the   end   user   might   make   and   maybe   they   use   Zelle   or,   uh,   Apple   Pay.   And   so   the   way   that   connects   into   revenue   is   you're   saying   the,   that   end   user   is   not...   Is   it   that   they   are   initiating   those   apps,   or,   or   sorry,   those   payments   from   within   the   Chime   app?   Or   that   they   are   connecting   their   Chime   debit   card   to   those   other   payment   services?  
**Candidate:** The   latter.  
**Interviewer:** The   latter.   Okay.  
**Candidate:** So   it's   essentially   them   connecting   their   Chime   debit   card   to   all   of   the   payment   services   that   they   would   be   using   through   that   mobile   app.   And   of   course,   if   you   wanted   to   look   at   overall   company   revenue,   you   would   go   into   all   debit   card   usage.   But   for   your   clarifying   point,   this   would   be   specifically   for   the   mobile   app.  
**Interviewer:** Okay.  
**Candidate:** And   specifically   for   other   mobile   applications   on   the   user's   device.  
**Interviewer:** Got   it.   Okay.  
**Candidate:** And   that   would   then   be   turned   into   the   metrics,   just   to   rehash   them,   of   notional   transacted   and   then   the   merchant   rates   and   the   percentage   of   the   merchant   rates   that   Chime   can   earn.  
**Interviewer:** Got   it.   Okay.   Sounds   good.  
**Candidate:** So   moving   on   to...   That,   that   really   covers   revenue   for   us   for   the   debit   card   side   only.   There's   also   revenue   from   a   savings   account   perspective,   but   because   this   is   intractable   from   the   overall   business   of   Chime,   I'll   skip   over   this   one-  
**Interviewer:** Mm-hmm.  
**Candidate:** ...   in   terms   of   the   mobile   app.  
**Interviewer:** Okay.   Sounds   good.  
**Candidate:** So   moving   on   to   the   user   metrics.   I   think   in   order   to   understand   the   success   of   the   mobile   app,   what   we   would   need   would   be   a   few   different   things.   We   need   to   get   an   understanding   of   accounts   and   we   need   to   get   an   understanding   of   actual   app   usage   and   how   that   influences   how   many   accounts   are   opened   and   specifically   how   much   money   is   saved   in   the   high-yield   savings   accounts.   Um,   which   actually   I'm   gonna   unwind   that.   That's   not   super   mutually   exclusive.   Um,   so   for   our   category   of   user   growth   and   user   adoption,   let's   just   keep   it   with   the   number   of   accounts   and   then   the   number   of   transactions   and   clients   that   we   have.  
**Interviewer:** Okay.   Got   it.  
**Candidate:** So-  
**Interviewer:** Number   of   accounts   and   number   of   transactions.  
**Candidate:** Yeah.So   just   to   start   with   kind   of   the   simple   one,   I   think   we   wanna   know...   Let's   start   at   the   client   level.   So   we   have   a   total   number   of   users   or   clients   that   bank   with   Chime   overall.   We'll   want   to   know   what   that   number   is   so   we   can   kind   of   compare   it   as   a   notional   metric   for   how   many   are   actually   on   the   mobile   app.  
**Interviewer:** Okay.  
**Candidate:** And   then   we'll   want   to   know   how   many   customers   are   on   the   mobile   app.   Um,   and   that's   just   an   aggregate   customer   number,   so   we   have   a   good   sense   of,   of   where   we   are   overall   as   a   bank   and   then   what   percentage   of   adoption   our   customers   have   for   our   mobile   platform.  
**Interviewer:** Yeah.  
**Candidate:** The   next   aspect   would   certainly   be   the   number   of   accounts   that   those   users   have   open.  
**Interviewer:** Okay.  
**Candidate:** And   the   reason   that   all   of   these   are   important   together   is   because   you   could   have   many   customers   and   many   more   accounts,   because   people   open   accounts   and   then   leave   the   bank.   And   so   for   these   accounts,   essentially   what   we   would   want   to   understand   is   how   many   total   accounts   are   there,   and   how   many   total   accounts   are   actually   opened   on   the   mobile   app.   So   how   feasible   is   it   to   open   an   account   on   the   mobile   app-  
**Interviewer:** Mm-hmm.  
**Candidate:** ...   can   kind   of   be   understood   from   the   perspective   of   the   proportion   of   mobile   app-opened   accounts   to   total   accounts.  
**Interviewer:** Got   it.   Okay.  
**Candidate:** And   that   covers   our   account   perspective.   And   I'll   take   a   pause   there   again.  
**Interviewer:** And   so   tell   me   a   little   bit   about,   you   know,   thinking   about   Chime   as   a   business   and   let,   let's   say   mobile   is   important   for   them.   They   believe   that   most   of   banking,   um,   i-   in   the   future   will   be   done   via   like   a   interface   like   a   mobile   app,   that's   what   consumers   want,   et   cetera.   What   type   of   numbers   would   you   like   to   see   for   things   like   percentage   of   our   users   using,   um,   the   mobile   app   and   percent   of,   uh,   you   know,   accounts   created   via   mobile   app   versus,   um,   you   know,   the   desktop   website   or   something   like   that?  
**Candidate:** I   think   you   would   hope   to   see   between   90   and   100%   for   a   successful   banking   application.   I   think   no-brainer   there.   It's   very   clear   that   the   banking   industry   is   moving   towards   a   lot   of   mobile   activity   as   opposed   to   desktop   activity   and   in-person   activity.   And   if   you're   under   that   90%   metric,   then   that's   an   indicator   that   your,   your   interface   on   your   app   isn't   accessible   enough   or   isn't   widely   known   about   enough   to   actually   be   able   to   have   most   of   your   c-   customers   leveraging   it.  
**Interviewer:** Got   it.   Okay.   And   then   how   about   the...   Was   that   number   for   both   the   number   of   people   using   the   mobile   app   and   the   number   of   accounts   created   via   mobile   versus   desktop,   was   90%   plus   for   both?  
**Candidate:** Yes,   absolutely.  
**Interviewer:** Okay.  
**Candidate:** Yeah.  
**Interviewer:** Okay.  
**Candidate:** And   I   think   that,   that   does   depend   on   the   account   opening   software   that's   being   used.  
**Interviewer:** Mm-hmm.  
**Candidate:** Um,   because   of   course   that   process   can   be   quite   complex.   And   I'm   saying   that   assuming   that   it's   possible   to   open   an   account   on   the   mobile   app,   which   I   realize   it's   not   for   every   single   fintech   or   financial   institution.  
**Interviewer:** Got   it.   Okay.   Okay.   Cool.   How   about   on   the   transaction   side?  
**Candidate:** Sure.   So   I   think   a   really   clear   indicator   of   how   often,   or   excuse   me,   of   how   successful   a,   a   banking   application   is   is   how   many   transactions   are   actually   executed   on   it.   And   I   know   we   talked   about   the   notional   value   of   these   transactions   on   the   revenue   side,   but   for   the   actual   user   side   and   the   adoption   side,   what   we're   most   curious   about   is   the   number   of   transactions   per   account,   the   number   of   transactions   per   day,   and   the   number   of   transactions   per   customer   per   unit   of   time.   And   this   will   help   us   gain   an   understanding   of   how   people   actively   use   this   app   and   we   can   compare   it   hypothetically   to   some   of   our   competitors,   maybe   some   established   banks   and   maybe   some   non-banking   institutions   like   Venmo   that   also   allows   people   to   transact.  
**Interviewer:** Got   it.   Okay.   And   tell   me,   like   take   me   a   step   deeper   on   some   of   those   metrics.   So   you   talked   about   transactions   per   day,   transactions   per,   I   think   it   was   transactions   per   account   per   customer,   and   then,   you   know,   transactions,   um,   maybe,   maybe   it   was   transac-   transactions   over   some   other   unit   of   time.   Um,   I,   I   may   have   missed   a   third   one,   or   maybe,   maybe   it   was   just   day   versus   some   other   unit   of   time.   But   like   break   down   a   little   bit   for   me   what   are   the   different   types   of   transactions   you   would   expect   and   is   there   any   reason   to,   um,   look   or   measure   any   of   those   specific   transactions   more   granular-   granularly   or   does   it   just   matter   to   like   look   at   say   transactions   per   day?  
**Candidate:** Gotcha.   So   it   sounds   like   kind   of   the   first   level   of   granularity   that   we   could   approach   this   question   with   would   be   payments   versus   receipts.   Like   how   many   transactions   are   being   sent   out   from   the   Chime   account   versus   being   received   to   the   Chime   account.   And   the,   the   complexity   that   that   adds   and   the   reason   that   it   would   be   useful   to   track   that   discrepancy   is   because   if   people   are   only   paying   from   their   Chime   accounts   and   never   receiving   funds   to   them,   that   really   limits   our   functionality   as   a   bank   and   would   also   indicate   that   there   is   some   aspect   of   paying   through   a   Chime   account   that   becomes   diff-   difficult   or   there's   some   aspect   of   the   user   question   that's   being   answered   by   the   Chime   account   that   we   don't   yet   understand.   Why   are   Chime   users   only   paying,   et   cetera.   So   I   think   having   an   understanding   of   the   balance   of   that   and   making   sure   it   was   in   keeping   with   expected   amounts   given   the,   the   application   and   what   we   expect   from   the   rest   of   the   industry   would   be   pretty   important   there.  
**Interviewer:** Got   it.   And   help   me   just   'cause   I'm   less   familiar   personally   with   the,   the   particular   like   fintech   lingo,   but   when   you   say   receipts,   this   is   money   coming   into   an   account   versus   money   flowing   out   of   a   Chime   account?   Is   that   the   way   to   think   about   it?  
**Candidate:** Exactly.  
**Interviewer:** Okay.  
**Candidate:** Or   you,   you   wouldn't   even   necessarily   want   it   to   be   a   Chime   account   'cause   it   could   be   Chime   users   sending   to   each   other.   But   from   the   perspective   of   the   account   owner,   a   payment   is   when   they   are   sending   money   out   of   their   account   and   a   receipt   is   when   they're   receiving   money   into   their   account.  
**Interviewer:** Got   it.   And   how   should   one   think   about   like   if   I'm   using   the   Chime   app   and   say,   uh,   doing   mobile   check   deposit.   Is,   is   that   something   that's   considered,   like   where   does   that   get,   does   that   get   captured   in   the   transactions   the   way   you're   thinking   of   them   currently?  
**Candidate:** I   would   think   that   should   be   captured   in   the   transactions   because   that's   part   of   the   notional   that's   flowing   into   the   bank   and   that's   certainly   something   that   we   want   to   be   tracking.  
**Interviewer:** Got   it.   Okay.   So   that's   a   receipt   into   a   Chime   customer's   account.  
**Candidate:** That's   right.  
**Interviewer:** Got   it.   Okay.And   then,   how   do   you   think   about   like   ...   You   know,   I   imagine,   you   know,   typical   mobile   banking   apps,   there's   like   a   few   things,   you,   you   know.   Typically,   there's   minimal   amount   of   things   y-   or,   uh,   uh,   let's   call   it   the   table   stakes,   number   of   things   you   can   do   like   mobile   check   deposit,   um,   us-   usually   sending,   sending   payments,   transferring   payments.   Um,   what   other   things   like   might   be   possible,   or   do-   are   there   any   other   things   that   we   would   wanna   measure   when   we're   thinking   about   user   adoption   of   the   mobile   app?   Or   is   it   just   actual   sort   of   transactions   where   money   is   moving?  
**Candidate:** Yeah.   I   think   what   you're   bringing   up   is   really   important.   And   I   think   what   it   actually   reflects   is   beyond   the   functionality   of   the   application,   and   the,   the   functionality   I'm   just   going   to   assume   is   primarily   to   send   transactions   based   on   my   understanding   from,   of   Chime's   business   from   an   outsider's   perspective.   But   I   think   what   you're   bringing   up   is   that   there's   a   huge   amount   of   user   experience   that's   intrinsic   in   understanding   why   clients   will   adopt   our   product   or   not   adopt   our   product.   And   that's   actually   a   total   deal   breaker   for   us.   And   I   think   this   is   like   the   last   category   of   the   user   adoption   and   user   growth.   So   I'm   glad   you   brought   it   up.   But   essentially   we   wanna   be   understanding   what   the   impact   to   our   clients   is   of   having   that   front-end   user   interface-  
**Interviewer:** Okay.  
**Candidate:** ...   and   how   much   they   enjoy   using   it,   or   how   much   they   wanna   use   it   again.   And   I   think   a   few   metrics   that   we   could   use   to   track   these   could   be   broken   up   into   the   perspective   of   time,   and   how   we're   measuring   time,   and   then   also   actual   user   feedback.   Um,   I   think   it's   pretty   difficult   to   tell   how   people   find   a   user   interface   sometimes   without   at   least   one,   if   not   both,   of   the   metrics   in   those   two   categories.   So   for   the   time   category,   what   we   would   be   interested   in,   in   would   be   kind   of   the   SLAs   or   the   time   that   it   takes   after   clicking   on   something   to   go   to   the   next   page.   Um,   that's   very   important.   And   then   also   the   time   that   a   user   spends   on   the   application.   Um,   and   I   think   you'd   have   to   do   some   research   to   understand   what   a   high   amount   of   time   indicated   versus   a   low   amount   of   time.   But   I   would   imagine   that   there's   a   sweet   spot   amount   of   time   which   indicates   that   a   client   can   log   on,   can   do   their   business,   and   get   off   in   a   short   period   of   time   that   indicates   they   were   able   to   accomplish   what   they   wanted   to   accomplish,   but   not   that   it   was   so   difficult   it   took   them   too   long.   So   that's   kind   of   what   I   mean   by   the   time   metrics.   And   those   are   things   that   you   can   actually   build   your   application   to   track,   if   you   so   choose.  
**Interviewer:** Yeah.  
**Candidate:** The   other   metrics   are   actually   like,   do   people   like   using   the   product?   And   to   be   able   to   attain   this,   I   think   what   you   would   do   would   be   talk   to   your   users   and   understand   exactly   what   they   wanna   use   the   application   for,   and   exactly   how   they   plan   to   interact   with   it.   And   after   the   product   is   live,   which   of   course   it   is,   you   would   wanna   understand   what   are   their   pain   points.   What's   annoying   to   them?   What   do   they   have   to   go   around   that   they   don't   wanna   go   around?   And   to   be   able   to,   to   get   to   these   answers   I   think   you   would   really   need   to   have   a   significant   level   of   design   strategy   involved   in   conversing   with   your   customer   population,   and   understanding   what   improvements   you   need   to   make   the   application   better.  
**Interviewer:** Got   it.   And   when   you   say   design   strategy,   what   ...   Can   you   unpack   that   a   little   bit?   What   do   you   mean   when   you   say   design   strategy   when   talking   to   customers?  
**Candidate:** Sure.   We're   essentially   saying,   how   can   we   ask   the   customer   what   they   need   from   us   in   a   way   that   is   asking   them   a   question   that   they   can   answer   even   if   they're   not   consciously   aware   of   it   yet?  
**Interviewer:** Got   it.   Okay.   Okay.   Got   it.   So   it's,   it's   like   sort   of   methodology   of   teasing   the   information   out   of   customers   or   potential   customers.  
**Candidate:** It's   that,   and   I   would   also   say   it's   really   saying   our   product   is   designed   for   the   end-user.   This   is   the   target   audience   that   we   need   to   meet   everything   for.   And   so   we   wanna   make   sure   that   no   matter   what   the   functionality   that   we   as   the   products   developers   believe   should   exist   in   it,   that   really   what   it   does   is   it   serve   as   the   end-user   need.   And   in   doing   so,   allows   the   products   to   be   adopted   and   used   and   earn   the   company   revenue.  
**Interviewer:** Got   it.   Okay.   And   tell   me   a   little   bit   about   ...   I   thought   your   point   on   time   was   interesting,   and   the   idea   of   there   being   this   sort   of   sweet   spot   of   time.   Time   spent   in   app,   for   example.   And   so   it,   it   sounds   like   you're   saying,   look,   like   if,   if   it's   just   like   20   seconds   on   average,   maybe   that's   not   good   because   maybe   people   are   getting   confused   and   leaving.   And   if   it's,   on   the   other   hand   if   it's   20   minutes,   you   know-  
**Candidate:** So-  
**Interviewer:** ...   maybe   that's   not   good   either   because   like   why   is   it   taking   so   long.   How,   you   know,   if   you   could   sort   of   wave   your   wand   and   magically   get   some   sort   of   metric   around   this,   like   how   would   you...   Can   you   think   of   any   sort   of   ways   where   you,   you   figure   out   what   or   how   to   sort   of   quantify   what   that   sweet   spot   looks   like?  
**Candidate:** Yeah,   absolutely.   I   think   you'd   wanna   start   with   getting   an   understanding   of   what   people   log   on   to   the   app   to   do.  
**Interviewer:** Okay.  
**Candidate:** And   if   you   can   un-   get   an   understanding   of   what   that   is   and   also   of   kind   of   how   often   they   do   it,   then   you'll   have   a   good   understanding   of   how   long   you   might   expect   them   to   be   on   the   application   for.  
**Interviewer:** Okay.  
**Candidate:** And   then   ...   Yeah.   So   I   think   that's   kind   of   like   just   a   starting   point,   saying,   "I'm   logging   on   to   check   my   debit   account   balance   and   then   I'm   leaving,"   is   a   lot   different   than   saying,   "I'm   logging   on   to   check   my   debit   account   balance,   then   I'm   sending   10   of   my   friends   money,   and   then   I'm   doing   my   credit   card   bill."   Um,   that's   a   much   different   time   perspective.  
**Interviewer:** Yeah.  
**Candidate:** So   I   think   to   create   one   metric   would   be   pretty   tricky-  
**Interviewer:** Mm-hmm.  
**Candidate:** ...   especially   if   people   are   using   the   application   for   different   things   depending   on   your   user   population.  
**Interviewer:** Yeah.  
